year,canton,diseasesGroup,diseases,species,count
2010,GR,Epidemics to be supervised,Blackleg,Cattle,1
2010,GR,Epidemics to be supervised,Enzootic abortion of ewes,Goat,7
2010,SG,Epidemics to be supervised,Pseudotuberculosis of sheep and goats,Goat,1
2010,AR,Epidemics to be fought,Enzootic pneumonia of swine,Pig,1
2010,GR,Epidemics to be fought,European foulbrood of honey bees,Bees,35
2010,TG,Epidemics to be eradicated,Bovine Virusdiarrhoe / Mucosal disease,Cattle,30
2010,LU,Epidemics to be supervised,Enzootic abortion of ewes,Sheep,1
2010,FR,Epidemics to be supervised,Pseudotuberculosis of sheep and goats,Sheep,1
2010,NE,Epidemics to be eradicated,Bovine Virusdiarrhoe / Mucosal disease,Cattle,19
2010,LU,Epidemics to be supervised,Neosporosis,Cattle,21
2010,NE,Epidemics to be supervised,Cryptosporidiosis,Cattle,1
2010,VS,Epidemics to be fought,European foulbrood of honey bees,Bees,23
2010,AG,Epidemics to be supervised,Cryptosporidiosis,Cattle,1
2010,VD,Epidemics to be supervised,Campylobacteriosis,Cat,1
2010,VS,Epidemics to be supervised,Cryptosporidiosis,Cattle,1
2010,GL,Epidemics to be eradicated,Bovine Virusdiarrhoe / Mucosal disease,Cattle,3
2010,TG,Epidemics to be fought,Salmonellosis,Cattle,1
2010,VS,Epidemics to be fought,Salmonellosis,Chicken,1
2010,BL,Epidemics to be fought,Leptospirosis,Other wild animal,1
2010,GE,Epidemics to be supervised,Proliferative kidney disease,Fish,1
2010,FR,Epidemics to be supervised,Enzootic abortion of ewes,Sheep,2
2010,TG,Epidemics to be supervised,Maedi-visna,Sheep,1
2010,GL,Epidemics to be fought,European foulbrood of honey bees,Bees,1
2010,AR,Epidemics to be supervised,Neosporosis,Cattle,2
2010,AG,Epidemics to be fought,Avian chlamydiosis,Budgerigar,1
2010,ZH,Epidemics to be fought,Salmonellosis,Dog,4
2010,FR,Epidemics to be fought,American foulbrood of honey bees,Bees,3
2010,GL,Epidemics to be fought,Caprine Arthritis-Encephalitis,Goat,1
2010,ZG,Epidemics to be fought,Avian infectious laryngotracheitis,Chicken,1
2010,ZH,Epidemics to be fought,Salmonellosis,Monkey,1
2010,SO,Epidemics to be fought,European foulbrood of honey bees,Bees,52
2010,BE,Epidemics to be fought,Salmonellosis,Cattle,3
2010,FR,Epidemics to be fought,Bluetongue,Cattle,1
2010,LU,Epidemics to be supervised,Toxoplasmosis,Songbird,1
2010,VD,Epidemics to be fought,Salmonellosis,Snake,1
2010,LU,Epidemics to be supervised,Echinococcosis/hydatidosis,Dog,1
2010,BL,Epidemics to be supervised,Neosporosis,Cattle,1
2010,VD,Epidemics to be fought,Myxomatosis,Rabbit,1
