Year,AnimalSpecies,Origin,Count
2022,Mäuse gm,importiert,34657
2022,Mäuse wt,gezüchtet,107489
2022,Mäuse wt,importiert,122982
2022,Meerschweinchen,gezüchtet,0
2022,Meerschweinchen,importiert,181
2022,"Pferde, Esel",gezüchtet,0
2022,"Pferde, Esel",importiert,0
2022,Primaten,gezüchtet,4
2022,Primaten,importiert,0
2022,Ratten gm,gezüchtet,2667
2022,Ratten gm,importiert,983
2022,Ratten wt,gezüchtet,5537
2022,Ratten wt,importiert,37760
2022,Rennmäuse,gezüchtet,0
2022,Rennmäuse,importiert,66
2022,Reptilien gm,gezüchtet,94
2022,Reptilien gm,importiert,0
2022,Reptilien wt,gezüchtet,200
2022,Reptilien wt,importiert,0
2022,"Rinder, Büffel",gezüchtet,277
2022,"Rinder, Büffel",importiert,0
2022,Schafe,gezüchtet,0
2022,Schafe,importiert,0
2022,Schweine,gezüchtet,5513
2022,Schweine,importiert,4
2022,Vögel (ohne Geflügel),gezüchtet,141
2022,Vögel (ohne Geflügel),importiert,0
2022,Weitere Säuger*,gezüchtet,105
2022,Weitere Säuger*,importiert,0
2022,Ziegen,gezüchtet,0
2022,Ziegen,importiert,0
2023,Amphibien gm,gezüchtet,348
2023,Amphibien gm,importiert,1500
2023,Amphibien wt,gezüchtet,188
2023,Amphibien wt,importiert,4386
2023,Andere Labornager,gezüchtet,0
2023,Andere Labornager,importiert,0
2023,Wirbellose,gezüchtet,45
2023,Wirbellose,importiert,0
2023,Fische gm,gezüchtet,108133
2023,Fische gm,importiert,4845
2023,Fische wt,gezüchtet,37711
2023,Fische wt,importiert,2716
2023,Geflügel,gezüchtet,76
2023,Geflügel,importiert,0
2023,Hamster,gezüchtet,0
2023,Hamster,importiert,71
2023,Hunde,gezüchtet,0
2023,Hunde,importiert,0
2023,Kaninchen gm,gezüchtet,0
2023,Kaninchen gm,importiert,61
2023,Kaninchen wt,gezüchtet,0
2023,Kaninchen wt,importiert,257
2023,Katzen,gezüchtet,1
2023,Katzen,importiert,0
2023,Mäuse gm,gezüchtet,717972
2023,Mäuse gm,importiert,31878
2023,Mäuse wt,gezüchtet,115863
2023,Mäuse wt,importiert,133785
2023,Meerschweinchen,gezüchtet,0
2023,Meerschweinchen,importiert,87
2023,Primaten,gezüchtet,7
2023,Primaten,importiert,5
2023,Ratten gm,gezüchtet,1557
2023,Ratten gm,importiert,360
2023,Ratten wt,gezüchtet,5412
2023,Ratten wt,importiert,36648
2023,Rennmäuse,gezüchtet,0
2023,Rennmäuse,importiert,36
2023,Reptilien gm,gezüchtet,112
2023,Reptilien gm,importiert,3
2023,Reptilien wt,gezüchtet,157
2023,Reptilien wt,importiert,6
2023,"Rinder, Büffel",gezüchtet,290
2023,"Rinder, Büffel",importiert,1
2023,Schafe,gezüchtet,30
2023,Schafe,importiert,0
2023,Schweine,gezüchtet,5328
2023,Schweine,importiert,6
2023,Vögel,gezüchtet,84
2023,Vögel,importiert,0
2023,Weitere Nicht-Säuger,gezüchtet,0
2023,Weitere Nicht-Säuger,importiert,0
2023,Weitere Säuger,gezüchtet,68
2023,Weitere Säuger,importiert,0
2023,Wilde Nager,gezüchtet,3482
2023,Wilde Nager,importiert,0
2023,Ziegen,gezüchtet,0
2023,Ziegen,importiert,0
2024,Amphibien wt,gezüchtet,361
2024,Amphibien wt,importiert,1505
2024,Cephalopoden,gezüchtet,127
2024,Cephalopoden,importiert,0
2024,Fische gm,gezüchtet,106131
2024,Fische gm,importiert,2237
2024,Fische wt,gezüchtet,39721
