Year,Category,Species,Category of use,Prescription type,Treatment days,Treatment days with critical antibiotics,Treatment days per 1000,Critical treatment days per 1000,Total animal numbers across production cycles
2023,Farm animals,All species,All categories of use,All prescription types,39528497,5347595,12211.67,1516.26,99444827
2023,Farm animals,All species,Rearing laying hens and parent birds,All prescription types,1055312,526988,215.64,107.68,4893934
2023,Farm animals,All species,Game animals,All prescription types,118,77,7.97,5.2,14810
2023,Farm animals,All species,Camelids,All prescription types,3503,1102,366.54,115.31,9557
2023,Farm animals,All species,Rabbits,All prescription types,746941,10375,3417.63,47.47,218555
2023,Farm animals,All species,Laying and parent birds,All prescription types,332251,50126,862.03,130.05,385429
2023,Farm animals,All species,Laying hens,All prescription types,1258012,105069,351.04,29.32,3583707
2023,Farm animals,All species,Fattening broilers,All prescription types,30877837,3857876,381.72,47.69,80891652
2023,Farm animals,All species,Fattening pigs and giltsm,All prescription types,463400,50920,195.07,21.43,2375577
2023,Farm animals,All species,Fattening turkeys,All prescription types,59821,12001,146.58,29.41,408100
2023,Farm animals,All species,Dairy cows,All prescription types,1022047,90468,1959.83,173.48,521497
2023,Farm animals,All species,Suckler cows,All prescription types,64858,5047,266.8,20.76,243093
2023,Farm animals,All species,Cattle rearing and fattening,All prescription types,2731304,518344,2685.84,509.72,1016926
2023,Farm animals,All species,Suckling and weaned piglets,All prescription types,780448,93870,182.12,21.9,4285400
2023,Farm animals,All species,Sheep,All prescription types,66312,8327,146.6,18.41,452340
2023,Farm animals,All species,Goats,All prescription types,49847,13666,426.99,117.06,116740
2023,Farm animals,All species,Breeding sows and boars,All prescription types,16486,3339,599.27,121.37,27510
2023,Farm animals,Poultry,All categories of use,All prescription types,33583233,4552060,1957.01,344.15,90162822
2023,Farm animals,Poultry,Rearing laying hens and parent birds,All prescription types,1055312,526988,215.64,107.68,4893934
2023,Farm animals,Poultry,Laying and parent birds,All prescription types,332251,50126,862.03,130.05,385429
2023,Farm animals,Poultry,Laying hens,All prescription types,1258012,105069,351.04,29.32,3583707
