Year,Category,Class of active substances,Category of use,Critical active substance,Prescription type,Species,Amount of active ingredient (kg)
2021,All animals,All active substance classes,Rearing calves,All types of active ingredients,All prescription types,All species,590.5232
2021,All animals,All active substance classes,Rearing calves,All types of active ingredients,Single treatments farm animals,All species,318.4059
2021,All animals,All active substance classes,Rearing calves,All types of active ingredients,Oral group treatments,All species,272.1173
2021,All animals,Aminoglycosides,Rearing calves,All types of active ingredients,All prescription types,All species,20.9264
2021,All animals,Aminoglycosides,Rearing calves,All types of active ingredients,Single treatments farm animals,All species,20.8745
2021,All animals,Aminoglycosides,Rearing calves,All types of active ingredients,Oral group treatments,All species,0.0519
2021,All animals,Amphenicols,Rearing calves,All types of active ingredients,All prescription types,All species,49.5922
2021,All animals,Amphenicols,Rearing calves,All types of active ingredients,Single treatments farm animals,All species,49.5922
2021,All animals,Others¹,Rearing calves,All types of active ingredients,All prescription types,All species,6.8602
2021,All animals,Others¹,Rearing calves,All types of active ingredients,Single treatments farm animals,All species,4.9002
2021,All animals,Others¹,Rearing calves,All types of active ingredients,Oral group treatments,All species,1.96
2021,All animals,Cephalosporins 1st/2nd generation,Rearing calves,All types of active ingredients,All prescription types,All species,0.04
2021,All animals,Cephalosporins 1st/2nd generation,Rearing calves,All types of active ingredients,Single treatments farm animals,All species,0.04
2021,All animals,Cephalosporins 3rd/4th generationᵏʳⁱᵗ,Rearing calves,All types of active ingredients,All prescription types,All species,0.4183
2021,All animals,Cephalosporins 3rd/4th generationᵏʳⁱᵗ,Rearing calves,All types of active ingredients,Single treatments farm animals,All species,0.4183
2021,All animals,Fluoroquinolonesᵏʳⁱᵗ,Rearing calves,All types of active ingredients,All prescription types,All species,7.684
2021,All animals,Fluoroquinolonesᵏʳⁱᵗ,Rearing calves,All types of active ingredients,Single treatments farm animals,All species,7.684
2021,All animals,Macrolidesᵏʳⁱᵗ,Rearing calves,All types of active ingredients,All prescription types,All species,24.2904
2021,All animals,Macrolidesᵏʳⁱᵗ,Rearing calves,All types of active ingredients,Single treatments farm animals,All species,7.1364
2021,All animals,Macrolidesᵏʳⁱᵗ,Rearing calves,All types of active ingredients,Oral group treatments,All species,17.154
2021,All animals,Penicillins,Rearing calves,All types of active ingredients,All prescription types,All species,129.2468
2021,All animals,Penicillins,Rearing calves,All types of active ingredients,Single treatments farm animals,All species,79.1209
2021,All animals,Penicillins,Rearing calves,All types of active ingredients,Oral group treatments,All species,50.1259
2021,All animals,Polymyxins,Rearing calves,All types of active ingredients,All prescription types,All species,0.2386
2021,All animals,Polymyxins,Rearing calves,All types of active ingredients,Single treatments farm animals,All species,0.2142
2021,All animals,Polymyxins,Rearing calves,All types of active ingredients,Oral group treatments,All species,0.0244
2021,All animals,Sulfonamides,Rearing calves,All types of active ingredients,All prescription types,All species,203.5573
2021,All animals,Sulfonamides,Rearing calves,All types of active ingredients,Single treatments farm animals,All species,97.0991
2021,All animals,Sulfonamides,Rearing calves,All types of active ingredients,Oral group treatments,All species,106.4582
2021,All animals,Tetracyclines,Rearing calves,All types of active ingredients,All prescription types,All species,147.669
2021,All animals,Tetracyclines,Rearing calves,All types of active ingredients,Single treatments farm animals,All species,51.326
2021,All animals,Tetracyclines,Rearing calves,All types of active ingredients,Oral group treatments,All species,96.343
2021,All animals,All active substance classes,Rearing cattle,No,All prescription types,All species,244.8665
2021,All animals,All active substance classes,Rearing cattle,No,Single treatments farm animals,All species,200.0422
2021,All animals,All active substance classes,Rearing cattle,No,Oral group treatments,All species,44.8244
2021,All animals,Aminoglycosides,Rearing cattle,No,All prescription types,All species,35.2139
2021,All animals,Aminoglycosides,Rearing cattle,No,Single treatments farm animals,All species,35.2139
2021,All animals,Amphenicols,Rearing cattle,No,All prescription types,All species,8.6429
2021,All animals,Amphenicols,Rearing cattle,No,Single treatments farm animals,All species,8.6429
2021,All animals,Others¹,Rearing cattle,No,All prescription types,All species,3.7208
2021,All animals,Others¹,Rearing cattle,No,Single treatments farm animals,All species,2.1948
2021,All animals,Others¹,Rearing cattle,No,Oral group treatments,All species,1.526
2021,All animals,Cephalosporins 1st/2nd generation,Rearing cattle,No,All prescription types,All species,0.4158
2021,All animals,Cephalosporins 1st/2nd generation,Rearing cattle,No,Single treatments farm animals,All species,0.4158
2021,All animals,Penicillins,Rearing cattle,No,All prescription types,All species,79.248
2021,All animals,Penicillins,Rearing cattle,No,Single treatments farm animals,All species,74.9339
2021,All animals,Penicillins,Rearing cattle,No,Oral group treatments,All species,4.3141
2021,All animals,Polymyxins,Rearing cattle,No,All prescription types,All species,0.0013
2021,All animals,Polymyxins,Rearing cattle,No,Single treatments farm animals,All species,0.0013
2021,All animals,Sulfonamides,Rearing cattle,No,All prescription types,All species,62.0641
2021,All animals,Sulfonamides,Rearing cattle,No,Single treatments farm animals,All species,38.4841
2021,All animals,Sulfonamides,Rearing cattle,No,Oral group treatments,All species,23.58
2021,All animals,Tetracyclines,Rearing cattle,No,All prescription types,All species,55.5597
2021,All animals,Tetracyclines,Rearing cattle,No,Single treatments farm animals,All species,40.1554
2021,All animals,Tetracyclines,Rearing cattle,No,Oral group treatments,All species,15.4043
2021,All animals,All active substance classes,Rearing cattle,Yes,All prescription types,All species,11.42
2021,All animals,All active substance classes,Rearing cattle,Yes,Single treatments farm animals,All species,7.2708
2021,All animals,All active substance classes,Rearing cattle,Yes,Oral group treatments,All species,4.1491
2021,All animals,Cephalosporins 3rd/4th generationᵏʳⁱᵗ,Rearing cattle,Yes,All prescription types,All species,0.4216
2021,All animals,Cephalosporins 3rd/4th generationᵏʳⁱᵗ,Rearing cattle,Yes,Single treatments farm animals,All species,0.4216
2021,All animals,Fluoroquinolonesᵏʳⁱᵗ,Rearing cattle,Yes,All prescription types,All species,3.1664
2021,All animals,Fluoroquinolonesᵏʳⁱᵗ,Rearing cattle,Yes,Single treatments farm animals,All species,3.1664
2021,All animals,Macrolidesᵏʳⁱᵗ,Rearing cattle,Yes,All prescription types,All species,7.8319
2021,All animals,Macrolidesᵏʳⁱᵗ,Rearing cattle,Yes,Single treatments farm animals,All species,3.6828
2021,All animals,Macrolidesᵏʳⁱᵗ,Rearing cattle,Yes,Oral group treatments,All species,4.1491
2021,All animals,All active substance classes,Rearing cattle,All types of active ingredients,All prescription types,All species,256.2865
2021,All animals,All active substance classes,Rearing cattle,All types of active ingredients,Single treatments farm animals,All species,207.313
2021,All animals,All active substance classes,Rearing cattle,All types of active ingredients,Oral group treatments,All species,48.9735
2021,All animals,Aminoglycosides,Rearing cattle,All types of active ingredients,All prescription types,All species,35.2139
2021,All animals,Aminoglycosides,Rearing cattle,All types of active ingredients,Single treatments farm animals,All species,35.2139
2021,All animals,Amphenicols,Rearing cattle,All types of active ingredients,All prescription types,All species,8.6429
2021,All animals,Amphenicols,Rearing cattle,All types of active ingredients,Single treatments farm animals,All species,8.6429
2021,All animals,Others¹,Rearing cattle,All types of active ingredients,All prescription types,All species,3.7208
2021,All animals,Others¹,Rearing cattle,All types of active ingredients,Single treatments farm animals,All species,2.1948
2021,All animals,Others¹,Rearing cattle,All types of active ingredients,Oral group treatments,All species,1.526
2021,All animals,Cephalosporins 1st/2nd generation,Rearing cattle,All types of active ingredients,All prescription types,All species,0.4158
2021,All animals,All active substance classes,Goats,No,All prescription types,All species,37.5559
