Month,Species,Category,Prescription type,Monthly prescriptions
04.2021,Game animals,All animals,All prescription types,2
04.2021,Sheep,All animals,All prescription types,2106
04.2021,All species,Farm animals,All prescription types,68778
04.2021,Game animals,Farm animals,All prescription types,2
04.2021,Animal species nZO,Farm animals,All prescription types,2775
04.2021,Poultry,Farm animals,All prescription types,78
04.2021,Fish,Farm animals,All prescription types,5
04.2021,Dogs,All animals,All prescription types,19704
04.2021,Camelids,All animals,All prescription types,69
04.2021,Rabbits,All animals,All prescription types,11
04.2021,Equids,Pets,Single treatments companion animals,1957
04.2021,Dogs,Pets,Single treatments companion animals,19704
04.2021,Cats,All animals,Single treatments companion animals,26341
04.2021,All species,All animals,Single treatments companion animals,51047
04.2021,Animal species nZO,All animals,Single treatments companion animals,3045
04.2021,Dogs,All animals,Single treatments companion animals,19704
04.2021,Animal species nZO,Pets,Single treatments companion animals,3045
04.2021,All species,Pets,Single treatments companion animals,51047
04.2021,Equids,All animals,Single treatments companion animals,1957
04.2021,Cats,Pets,Single treatments companion animals,26341
04.2021,Rabbits,All animals,Single treatments farm animals,6
04.2021,Camelids,All animals,Single treatments farm animals,69
04.2021,Poultry,Farm animals,Single treatments farm animals,5
04.2021,Game animals,Farm animals,Single treatments farm animals,2
04.2021,All species,Farm animals,Single treatments farm animals,52357
04.2021,Game animals,All animals,Single treatments farm animals,2
04.2021,Camelids,Farm animals,Single treatments farm animals,69
04.2021,Rabbits,Farm animals,Single treatments farm animals,6
04.2021,Cattle,Farm animals,Single treatments farm animals,49136
04.2021,Poultry,All animals,Single treatments farm animals,5
04.2021,Sheep,Farm animals,Single treatments farm animals,1780
04.2021,Goats,Farm animals,Single treatments farm animals,923
04.2021,Pigs,Farm animals,Single treatments farm animals,436
04.2021,All species,All animals,Single treatments farm animals,52357
04.2021,Sheep,All animals,Single treatments farm animals,1780
04.2021,Goats,All animals,Single treatments farm animals,923
04.2021,Pigs,All animals,Single treatments farm animals,436
04.2021,Cattle,All animals,Single treatments farm animals,49136
04.2021,Fish,All animals,Oral group treatments,5
04.2021,Pigs,All animals,Oral group treatments,153
04.2021,Sheep,Farm animals,Oral group treatments,1
04.2021,Poultry,All animals,Oral group treatments,72
04.2021,Goats,Farm animals,Oral group treatments,4
04.2021,Goats,All animals,Oral group treatments,4
04.2021,All species,Farm animals,Oral group treatments,809
04.2021,Fish,Farm animals,Oral group treatments,5
04.2021,Poultry,Farm animals,Oral group treatments,72
04.2021,Sheep,All animals,Oral group treatments,1
04.2021,Cattle,All animals,Oral group treatments,574
04.2021,Pigs,Farm animals,Oral group treatments,153
04.2021,All species,All animals,Oral group treatments,809
04.2021,Cattle,Farm animals,Oral group treatments,574
05.2021,Goats,Farm animals,Dispensing on stock,104
05.2021,All species,Farm animals,Dispensing on stock,15301
05.2021,Sheep,Farm animals,Dispensing on stock,255
05.2021,Rabbits,All animals,Dispensing on stock,10
05.2021,Poultry,Farm animals,Dispensing on stock,4
05.2021,Animal species nZO,Farm animals,Dispensing on stock,2554
05.2021,Sheep,All animals,Dispensing on stock,255
05.2021,Pigs,Farm animals,Dispensing on stock,1514
05.2021,All species,All animals,Dispensing on stock,15301
05.2021,Goats,All animals,Dispensing on stock,104
05.2021,Poultry,All animals,Dispensing on stock,4
05.2021,Cattle,Farm animals,Dispensing on stock,10860
05.2021,Rabbits,Farm animals,Dispensing on stock,10
05.2021,Pigs,All animals,Dispensing on stock,1514
05.2021,Animal species nZO,All animals,Dispensing on stock,2554
05.2021,Cattle,All animals,Dispensing on stock,10860
05.2021,Pigs,Farm animals,All prescription types,2183
05.2021,Equids,Pets,All prescription types,1967
05.2021,Animal species nZO,Farm animals,All prescription types,2554
05.2021,All species,Pets,All prescription types,50570
05.2021,All species,All animals,All prescription types,117312
05.2021,Goats,Farm animals,All prescription types,817
05.2021,Cattle,All animals,All prescription types,59559
05.2021,Equids,All animals,All prescription types,1967
05.2021,Dogs,Pets,All prescription types,19284
05.2021,Fish,All animals,All prescription types,12
05.2021,Sheep,Farm animals,All prescription types,1439
05.2021,Pigs,All animals,All prescription types,2183
05.2021,Animal species nZO,Pets,All prescription types,3161
05.2021,Cats,Pets,All prescription types,26158
05.2021,Animal species nZO,All animals,All prescription types,5715
05.2021,Cattle,Farm animals,All prescription types,59559
05.2021,Rabbits,All animals,All prescription types,17
05.2021,Game animals,All animals,All prescription types,5
05.2021,Poultry,All animals,All prescription types,93
05.2021,Rabbits,Farm animals,All prescription types,17
05.2021,Camelids,Farm animals,All prescription types,63
05.2021,Goats,All animals,All prescription types,817
05.2021,Game animals,Farm animals,All prescription types,5
05.2021,Camelids,All animals,All prescription types,63
05.2021,Sheep,All animals,All prescription types,1439
05.2021,Poultry,Farm animals,All prescription types,93
05.2021,Fish,Farm animals,All prescription types,12
05.2021,Cats,All animals,All prescription types,26158
05.2021,All species,Farm animals,All prescription types,66742
05.2021,Dogs,All animals,All prescription types,19284
05.2021,Equids,Pets,Single treatments companion animals,1967
05.2021,Animal species nZO,Pets,Single treatments companion animals,3161
05.2021,Cats,All animals,Single treatments companion animals,26158
05.2021,Animal species nZO,All animals,Single treatments companion animals,3161
05.2021,Dogs,All animals,Single treatments companion animals,19284
05.2021,All species,Pets,Single treatments companion animals,50570
05.2021,Dogs,Pets,Single treatments companion animals,19284
05.2021,Equids,All animals,Single treatments companion animals,1967
05.2021,Cats,Pets,Single treatments companion animals,26158
05.2021,All species,All animals,Single treatments companion animals,50570
05.2021,Camelids,All animals,Single treatments farm animals,63
05.2021,Goats,All animals,Single treatments farm animals,708
05.2021,Game animals,Farm animals,Single treatments farm animals,5
05.2021,All species,Farm animals,Single treatments farm animals,50728
05.2021,Camelids,Farm animals,Single treatments farm animals,63
05.2021,Poultry,All animals,Single treatments farm animals,4
05.2021,Rabbits,Farm animals,Single treatments farm animals,5
05.2021,Game animals,All animals,Single treatments farm animals,5
05.2021,Rabbits,All animals,Single treatments farm animals,5
05.2021,Cattle,Farm animals,Single treatments farm animals,48258
05.2021,Goats,Farm animals,Single treatments farm animals,708
05.2021,Pigs,Farm animals,Single treatments farm animals,503
05.2021,Sheep,Farm animals,Single treatments farm animals,1182
05.2021,All species,All animals,Single treatments farm animals,50728
05.2021,Sheep,All animals,Single treatments farm animals,1182
05.2021,Pigs,All animals,Single treatments farm animals,503
05.2021,Cattle,All animals,Single treatments farm animals,48258
05.2021,Poultry,Farm animals,Single treatments farm animals,4
05.2021,Pigs,All animals,Oral group treatments,166
05.2021,Fish,All animals,Oral group treatments,12
05.2021,Rabbits,Farm animals,Oral group treatments,2
05.2021,Poultry,All animals,Oral group treatments,85
05.2021,Goats,Farm animals,Oral group treatments,5
05.2021,Cattle,All animals,Oral group treatments,441
05.2021,Sheep,Farm animals,Oral group treatments,2
05.2021,Poultry,Farm animals,Oral group treatments,85
05.2021,All species,Farm animals,Oral group treatments,713
05.2021,Sheep,All animals,Oral group treatments,2
05.2021,Pigs,Farm animals,Oral group treatments,166
05.2021,Cattle,Farm animals,Oral group treatments,441
05.2021,Rabbits,All animals,Oral group treatments,2
05.2021,Goats,All animals,Oral group treatments,5
05.2021,Fish,Farm animals,Oral group treatments,12
05.2021,All species,All animals,Oral group treatments,713
06.2021,Goats,All animals,Dispensing on stock,80
06.2021,All species,Farm animals,Dispensing on stock,16730
06.2021,Sheep,Farm animals,Dispensing on stock,243
06.2021,Cattle,Farm animals,Dispensing on stock,11967
06.2021,Goats,Farm animals,Dispensing on stock,80
06.2021,Animal species nZO,Farm animals,Dispensing on stock,2920
06.2021,Sheep,All animals,Dispensing on stock,243
06.2021,All species,All animals,Dispensing on stock,16730
06.2021,Poultry,Farm animals,Dispensing on stock,2
06.2021,Pigs,Farm animals,Dispensing on stock,1506
06.2021,Cattle,All animals,Dispensing on stock,11967
06.2021,Animal species nZO,All animals,Dispensing on stock,2920
06.2021,Rabbits,All animals,Dispensing on stock,12
06.2021,Poultry,All animals,Dispensing on stock,2
06.2021,Rabbits,Farm animals,Dispensing on stock,12
06.2021,Pigs,All animals,Dispensing on stock,1506
06.2021,Animal species nZO,Pets,All prescription types,3155
06.2021,Pigs,Farm animals,All prescription types,2203
06.2021,Dogs,Pets,All prescription types,22108
06.2021,Equids,Pets,All prescription types,1938
06.2021,All species,All animals,All prescription types,124157
06.2021,Pigs,All animals,All prescription types,2203
06.2021,All species,Pets,All prescription types,53886
06.2021,Goats,Farm animals,All prescription types,552
06.2021,Cattle,All animals,All prescription types,63441
06.2021,Equids,All animals,All prescription types,1938
06.2021,Sheep,Farm animals,All prescription types,955
06.2021,Fish,All animals,All prescription types,18
06.2021,Cats,Pets,All prescription types,26685
06.2021,Goats,All animals,All prescription types,552
06.2021,Animal species nZO,All animals,All prescription types,6075
06.2021,Cattle,Farm animals,All prescription types,63441
06.2021,Cats,All animals,All prescription types,26685
06.2021,Rabbits,Farm animals,All prescription types,18
06.2021,Poultry,All animals,All prescription types,91
06.2021,Game animals,All animals,All prescription types,12
06.2021,Camelids,Farm animals,All prescription types,61
06.2021,Sheep,All animals,All prescription types,955
06.2021,Game animals,Farm animals,All prescription types,12
06.2021,Poultry,Farm animals,All prescription types,91
06.2021,Animal species nZO,Farm animals,All prescription types,2920
06.2021,Dogs,All animals,All prescription types,22108
06.2021,Camelids,All animals,All prescription types,61
06.2021,Fish,Farm animals,All prescription types,18
06.2021,All species,Farm animals,All prescription types,70271
06.2021,Rabbits,All animals,All prescription types,18
06.2021,All species,Pets,Single treatments companion animals,53886
06.2021,Cats,All animals,Single treatments companion animals,26685
06.2021,Dogs,All animals,Single treatments companion animals,22108
06.2021,Animal species nZO,All animals,Single treatments companion animals,3155
06.2021,Animal species nZO,Pets,Single treatments companion animals,3155
06.2021,Cats,Pets,Single treatments companion animals,26685
06.2021,Equids,Pets,Single treatments companion animals,1938
06.2021,Dogs,Pets,Single treatments companion animals,22108
06.2021,Equids,All animals,Single treatments companion animals,1938
06.2021,All species,All animals,Single treatments companion animals,53886
06.2021,Rabbits,All animals,Single treatments farm animals,3
06.2021,Game animals,Farm animals,Single treatments farm animals,12
06.2021,Sheep,All animals,Single treatments farm animals,711
06.2021,All species,Farm animals,Single treatments farm animals,52933
06.2021,Camelids,All animals,Single treatments farm animals,61
06.2021,Camelids,Farm animals,Single treatments farm animals,61
06.2021,Game animals,All animals,Single treatments farm animals,12
06.2021,Rabbits,Farm animals,Single treatments farm animals,3
06.2021,Cattle,Farm animals,Single treatments farm animals,51105
06.2021,Poultry,All animals,Single treatments farm animals,8
06.2021,Goats,Farm animals,Single treatments farm animals,469
06.2021,Pigs,Farm animals,Single treatments farm animals,564
06.2021,Pigs,All animals,Single treatments farm animals,564
06.2021,All species,All animals,Single treatments farm animals,52933
06.2021,Goats,All animals,Single treatments farm animals,469
06.2021,Sheep,Farm animals,Single treatments farm animals,711
06.2021,Cattle,All animals,Single treatments farm animals,51105
06.2021,Poultry,Farm animals,Single treatments farm animals,8
06.2021,Pigs,All animals,Oral group treatments,133
06.2021,Rabbits,Farm animals,Oral group treatments,3
06.2021,Poultry,All animals,Oral group treatments,81
06.2021,Sheep,Farm animals,Oral group treatments,1
06.2021,Fish,All animals,Oral group treatments,18
06.2021,Goats,All animals,Oral group treatments,3
06.2021,All species,Farm animals,Oral group treatments,608
06.2021,Fish,Farm animals,Oral group treatments,18
06.2021,Cattle,All animals,Oral group treatments,369
06.2021,Sheep,All animals,Oral group treatments,1
06.2021,Poultry,Farm animals,Oral group treatments,81
06.2021,Pigs,Farm animals,Oral group treatments,133
06.2021,Rabbits,All animals,Oral group treatments,3
06.2021,Goats,Farm animals,Oral group treatments,3
06.2021,All species,All animals,Oral group treatments,608
06.2021,Cattle,Farm animals,Oral group treatments,369
07.2021,Goats,Farm animals,Dispensing on stock,89
07.2021,Fish,Farm animals,Dispensing on stock,1
07.2021,All species,Farm animals,Dispensing on stock,18661
07.2021,Sheep,Farm animals,Dispensing on stock,196
07.2021,All species,All animals,Dispensing on stock,18661
07.2021,Animal species nZO,Farm animals,Dispensing on stock,3188
07.2021,Goats,All animals,Dispensing on stock,89
