"TIMESTEP","BVD_AMPEL","N_FARMS"
"19.07.2024","green","29'431"
"19.07.2024","orange","4'919"
"19.07.2024","red","134"
"20.07.2024","green","29'435"
"20.07.2024","orange","4'915"
"20.07.2024","red","134"
"21.07.2024","green","29'440"
"21.07.2024","orange","4'912"
"21.07.2024","red","133"
"22.07.2024","green","29'442"
"22.07.2024","orange","4'910"
"22.07.2024","red","133"
"23.07.2024","green","29'451"
"23.07.2024","orange","4'902"
"23.07.2024","red","133"
"24.07.2024","green","29'449"
"24.07.2024","orange","4'904"
"24.07.2024","red","133"
"25.07.2024","green","29'455"
"25.07.2024","orange","4'902"
"25.07.2024","red","130"
"26.07.2024","green","29'459"
"26.07.2024","orange","4'899"
"26.07.2024","red","130"
"27.07.2024","green","29'463"
"27.07.2024","orange","4'895"
"27.07.2024","red","130"
"28.07.2024","green","29'466"
"28.07.2024","orange","4'893"
"28.07.2024","red","129"
"29.07.2024","green","29'466"
"29.07.2024","orange","4'893"
"29.07.2024","red","129"
"30.07.2024","green","29'479"
"30.07.2024","orange","4'881"
"30.07.2024","red","128"
"31.07.2024","green","29'486"
"31.07.2024","orange","4'873"
"31.07.2024","red","128"
"01.08.2024","green","29'496"
"01.08.2024","orange","4'865"
"01.08.2024","red","126"
"02.08.2024","green","29'495"
"02.08.2024","orange","4'867"
"02.08.2024","red","125"
"03.08.2024","green","29'495"
"03.08.2024","orange","4'868"
"03.08.2024","red","125"
"04.08.2024","green","29'485"
"04.08.2024","orange","4'878"
"04.08.2024","red","125"
"05.08.2024","green","29'485"
"05.08.2024","orange","4'878"
"05.08.2024","red","125"
"06.08.2024","green","29'495"
"06.08.2024","orange","4'868"
"06.08.2024","red","125"
"07.08.2024","green","29'510"
"07.08.2024","orange","4'854"
"07.08.2024","red","124"
"08.08.2024","green","29'280"
"08.08.2024","orange","5'207"
"08.08.2024","red","1"
"09.08.2024","green","29'284"
"09.08.2024","orange","5'202"
"09.08.2024","red","1"
"10.08.2024","green","29'285"
"10.08.2024","orange","5'201"
"10.08.2024","red","1"
"11.08.2024","green","29'202"
"11.08.2024","orange","5'152"
"11.08.2024","red","133"
"12.08.2024","green","29'203"
"12.08.2024","orange","5'152"
"12.08.2024","red","133"
"13.08.2024","green","29'292"
"13.08.2024","orange","5'195"
"13.08.2024","red","1"
"14.08.2024","green","29'566"
"14.08.2024","orange","4'867"
"14.08.2024","red","55"
"15.08.2024","green","29'541"
"15.08.2024","orange","4'824"
"15.08.2024","red","123"
"16.08.2024","green","29'543"
"16.08.2024","orange","4'822"
"16.08.2024","red","123"
"17.08.2024","green","29'176"
"17.08.2024","orange","5'130"
"17.08.2024","red","182"
"18.08.2024","green","29'179"
"18.08.2024","orange","5'127"
"18.08.2024","red","182"
"19.08.2024","green","29'543"
"19.08.2024","orange","4'826"
"19.08.2024","red","119"
"20.08.2024","green","29'548"
"20.08.2024","orange","4'822"
"20.08.2024","red","118"
"21.08.2024","green","29'547"
"21.08.2024","orange","4'824"
"21.08.2024","red","117"
"22.08.2024","green","29'548"
"22.08.2024","orange","4'824"
"22.08.2024","red","116"
"23.08.2024","green","29'553"
"23.08.2024","orange","4'819"
"23.08.2024","red","116"
"24.08.2024","green","29'553"
"24.08.2024","orange","4'819"
"24.08.2024","red","116"
"25.08.2024","green","29'551"
"25.08.2024","orange","4'822"
"25.08.2024","red","115"
"26.08.2024","green","29'554"
"26.08.2024","orange","4'819"
"26.08.2024","red","115"
"27.08.2024","green","29'556"
"27.08.2024","orange","4'817"
"27.08.2024","red","115"
"28.08.2024","green","29'274"
"28.08.2024","orange","5'099"
"28.08.2024","red","115"
"29.08.2024","green","29'274"
"29.08.2024","orange","5'099"
"29.08.2024","red","115"
"30.08.2024","green","29'566"
"30.08.2024","orange","4'810"
"30.08.2024","red","113"
"31.08.2024","green","29'572"
"31.08.2024","orange","4'801"
"31.08.2024","red","116"
"01.09.2024","green","29'566"
"01.09.2024","orange","4'806"
"01.09.2024","red","116"
"02.09.2024","green","29'566"
"02.09.2024","orange","4'806"
"02.09.2024","red","116"
"03.09.2024","green","29'572"
"03.09.2024","orange","4'800"
"03.09.2024","red","116"
"04.09.2024","green","29'577"
"04.09.2024","orange","4'796"
"04.09.2024","red","114"
"05.09.2024","green","29'582"
"05.09.2024","orange","4'792"
"05.09.2024","red","114"
"06.09.2024","green","29'583"
"06.09.2024","orange","4'794"
"06.09.2024","red","111"
"07.09.2024","green","29'584"
"07.09.2024","orange","4'793"
"07.09.2024","red","111"
"08.09.2024","green","29'586"
"08.09.2024","orange","4'793"
"08.09.2024","red","111"
"09.09.2024","green","29'586"
"09.09.2024","orange","4'793"
"09.09.2024","red","111"
"10.09.2024","green","29'592"
"10.09.2024","orange","4'790"
"10.09.2024","red","108"
"11.09.2024","green","29'597"
"11.09.2024","orange","4'787"
"11.09.2024","red","107"
"12.09.2024","green","29'597"
"12.09.2024","orange","4'784"
"12.09.2024","red","110"
"13.09.2024","green","29'600"
"13.09.2024","orange","4'784"
"13.09.2024","red","107"
"14.09.2024","green","29'602"
"14.09.2024","orange","4'782"
"14.09.2024","red","107"
"15.09.2024","green","15'766"
"15.09.2024","orange","18'723"
"15.09.2024","red","2"
"16.09.2024","green","15'767"
"16.09.2024","orange","18'721"
"16.09.2024","red","3"
"17.09.2024","green","29'614"
"17.09.2024","orange","4'772"
"17.09.2024","red","105"
"18.09.2024","green","29'613"
"18.09.2024","orange","4'773"
"18.09.2024","red","105"
"19.09.2024","green","29'617"
"19.09.2024","orange","4'771"
"19.09.2024","red","103"
"20.09.2024","green","29'619"
"20.09.2024","orange","4'769"
"20.09.2024","red","103"
"21.09.2024","green","29'619"
"21.09.2024","orange","4'769"
"21.09.2024","red","103"
"22.09.2024","green","29'622"
"22.09.2024","orange","4'770"
"22.09.2024","red","101"
"23.09.2024","green","29'620"
"23.09.2024","orange","4'772"
"23.09.2024","red","101"
"24.09.2024","green","29'618"
"24.09.2024","orange","4'772"
"24.09.2024","red","103"
"25.09.2024","green","29'614"
"25.09.2024","orange","4'770"
"25.09.2024","red","109"
"26.09.2024","green","29'618"
"26.09.2024","orange","4'766"
"26.09.2024","red","109"

