Kanton,Fundort,Probenahme-Datum,Vogelart,Status Wildvogel,Ergebnis,Pathogenitaet,Subtyp
SH,Schaffhausen (Kraftwerk),2023-04-18,Blässhuhn,Totfund Einzeltier,negativ,,
VD,"Terrain de Copet, 1800 Vevey",2023-04-18,Gänsesäger,Totfund Einzeltier,negativ,,
BE,"Paradiesli, Zuzwil",2023-04-19,Graureiher,Totfund Einzeltier,negativ,,
ZH,"Stauweiher / Regulierweiher, Aeugst am Albis",2023-04-19,Graureiher,Lebendfang klinisch krank,negativ,,
VD,,2023-04-20,Höckerschwan,Totfund Einzeltier,negativ,,
GR,"Andeer, Runc",2023-04-20,Stockente,Totfund Einzeltier,negativ,,
BE,,2023-04-21,Greifvogel,Totfund Einzeltier,negativ,,
BE,Saicourt,2023-04-24,Ente,Totfund Einzeltier,negativ,,
GR,"Fundort: bei Tavanasa, Resgia Funddatum: 02.08.2022",2023-04-26,Gänsesäger,Totfund Einzeltier,negativ,,
SO,in der Aare im Wasser Niedergösgen,2023-04-26,Höckerschwan,Totfund Einzeltier,negativ,,
GE,"Jardin botaniques, chemin de l’Impératrice 1, 1292 Chambésy  Animal sauvage détenu en capturité selon ordonnance de l'OSAV",2023-04-27,Tafelente,Totfund Einzeltier,negativ,,
FL,"9497 Triesen, Bergstrasse 10",2023-05-01,Stockente,Lebendfang verletztes Tier,negativ,,
VD,,2023-05-01,Saatkrähe,Totfund mehrere Tiere an einem Ort,negativ,,
AG,"Schiffmühlestrasse 12, Untersiggenthal, Hafen",2023-05-02,Höckerschwan,Totfund Einzeltier,negativ,,
VD,"11B route de Begnins, 1196 Gland",2023-05-05,Weisskopfmöwe,Lebendfang klinisch krank,negativ,,
ZH,Birdlive Neeracher Ried,2023-05-08,Lachmöwe,Totfund mehrere Tiere an einem Ort,positiv,highly pathogenic avian influenza (HPAI),H5N1
ZH,Birdlive Neeracher Ried,2023-05-08,Lachmöwe,Totfund mehrere Tiere an einem Ort,positiv,highly pathogenic avian influenza (HPAI),H5N1
ZH,Birdlive Neeracher Ried,2023-05-08,Lachmöwe,Totfund mehrere Tiere an einem Ort,positiv,highly pathogenic avian influenza (HPAI),H5N1
VD,1400 Châble-Perron Ille artifiecielle sur le lac (colonie de goélands) 3 cadavres découverts lors du baguage des jeunes,2023-05-10,Weisskopfmöwe,Totfund mehrere Tiere an einem Ort,negativ,,
VD,"1400 Châble-Perron Ile artificielle sur le lac de Neuchâtel Cadavre échoué sur la berge de l’ile, oû plusieurs cadavres de jeunes goélands leucophées ont éte vus.",2023-05-10,Kormoran,Totfund Einzeltier,negativ,,
SG,Brutplattform,2023-05-10,Lachmöwe,Totfund mehrere Tiere an einem Ort,positiv,highly pathogenic avian influenza (HPAI),H5N1
SG,Brutplattform,2023-05-10,Lachmöwe,Totfund mehrere Tiere an einem Ort,positiv,highly pathogenic avian influenza (HPAI),H5N1
SG,Brutplattform,2023-05-10,Lachmöwe,Totfund mehrere Tiere an einem Ort,positiv,highly pathogenic avian influenza (HPAI),H5N1
SG,Brutplattform,2023-05-10,Lachmöwe,Totfund mehrere Tiere an einem Ort,negativ,,
LU,"Weiher zwischen Sempachersee und Camping, auf dem Wasser treibend gefunden",2023-05-15,Höckerschwan,Totfund Einzeltier,negativ,,
SO,neben Nest,2023-05-15,Höckerschwan,Totfund Einzeltier,negativ,,
ZH,"Pfäffikon See, Ufer, Brutplattformen",2023-05-16,Lachmöwe,Totfund mehrere Tiere an einem Ort,positiv,highly pathogenic avian influenza (HPAI),H5N1
ZH,"Pfäffikon See, Ufer, Brutplattformen",2023-05-16,Lachmöwe,Totfund mehrere Tiere an einem Ort,positiv,highly pathogenic avian influenza (HPAI),H5N1
ZH,"Pfäffikon See, Ufer, Brutplattformen",2023-05-16,Lachmöwe,Totfund mehrere Tiere an einem Ort,positiv,highly pathogenic avian influenza (HPAI),H5N1
ZH,"Pfäffikon See, Ufer, Brutplattformen",2023-05-16,Lachmöwe,Totfund mehrere Tiere an einem Ort,positiv,highly pathogenic avian influenza (HPAI),H5N1
ZH,"Pfäffikon See, Ufer, Brutplattformen",2023-05-16,Lachmöwe,Totfund mehrere Tiere an einem Ort,positiv,highly pathogenic avian influenza (HPAI),H5N1
ZH,"Pfäffikon See, Ufer, Brutplattformen",2023-05-16,Lachmöwe,Totfund mehrere Tiere an einem Ort,positiv,highly pathogenic avian influenza (HPAI),H5N1
ZH,"Pfäffikon See, Ufer, Brutplattformen",2023-05-16,Lachmöwe,Totfund mehrere Tiere an einem Ort,positiv,highly pathogenic avian influenza (HPAI),H5N1
ZH,"Pfäffikon See, Ufer, Brutplattformen",2023-05-16,Lachmöwe,Totfund mehrere Tiere an einem Ort,positiv,highly pathogenic avian influenza (HPAI),H5N1
ZH,"Pfäffikon See, Ufer, Brutplattformen",2023-05-16,Lachmöwe,Totfund mehrere Tiere an einem Ort,positiv,highly pathogenic avian influenza (HPAI),H5N1
ZH,"Pfäffikon See, Ufer, Brutplattformen",2023-05-16,Lachmöwe,Totfund mehrere Tiere an einem Ort,positiv,highly pathogenic avian influenza (HPAI),H5N1
ZH,"Pfäffikon See, Ufer, Brutplattformen",2023-05-16,Lachmöwe,Totfund mehrere Tiere an einem Ort,positiv,highly pathogenic avian influenza (HPAI),H5N1
ZH,"Pfäffikon See, Ufer, Brutplattformen",2023-05-16,Lachmöwe,Totfund mehrere Tiere an einem Ort,positiv,highly pathogenic avian influenza (HPAI),H5N1
ZH,"Pfäffikon See, Ufer, Brutplattformen",2023-05-16,Lachmöwe,Totfund mehrere Tiere an einem Ort,positiv,highly pathogenic avian influenza (HPAI),H5N1
ZH,"Pfäffikon See, Ufer, Brutplattformen",2023-05-16,Lachmöwe,Totfund mehrere Tiere an einem Ort,positiv,highly pathogenic avian influenza (HPAI),H5N1
ZH,"Pfäffikon See, Ufer, Brutplattformen",2023-05-16,Lachmöwe,Totfund mehrere Tiere an einem Ort,positiv,highly pathogenic avian influenza (HPAI),H5N1
ZH,"Pfäffikon See, Ufer, Brutplattformen",2023-05-16,Lachmöwe,Totfund mehrere Tiere an einem Ort,positiv,highly pathogenic avian influenza (HPAI),H5N1
ZH,"Pfäffikon See, Ufer, Brutplattformen",2023-05-16,Lachmöwe,Totfund mehrere Tiere an einem Ort,positiv,highly pathogenic avian influenza (HPAI),H5N1
VD,"sur le Balcon, route de Morges 5 A , 1162 St. Prex",2023-05-19,Stockente,Lebendfang klinisch krank,negativ,,
SH,"bei den Bootsplätzen, Hemishoferstrasse 20,  8260 Stein am Rhein",2023-05-22,Huhn,Lebendfang klinisch krank,negativ,,
LU,"8173 Neerach, Dielsdorferstrasse, Lindenbuck (Flurname), Neeracherried",2023-05-24,Blässhuhn,Programm,negativ,,
SH,"Rheinufer, Rheinfallquai,  8212 Neuhausen am Rheinfall",2023-05-24,Stockente,Totfund Einzeltier,negativ,,
NE,Ile NE du Fanel 5 goélands sur 6 au même endroit (jeunes),2023-05-26,Weisskopfmöwe,Totfund mehrere Tiere an einem Ort,negativ,,
NE,Ile NE du Fanel 5 goélands sur 6 au même endroit (jeunes),2023-05-26,Weisskopfmöwe,Totfund mehrere Tiere an einem Ort,negativ,,
NE,Ile NE du Fanel 5 goélands sur 6 au même endroit (jeunes),2023-05-26,Weisskopfmöwe,Totfund mehrere Tiere an einem Ort,negativ,,
NE,Ile NE du Fanel 5 goélands sur 6 au même endroit (jeunes),2023-05-26,Weisskopfmöwe,Totfund mehrere Tiere an einem Ort,negativ,,
NE,Ile NE du Fanel 5 goélands sur 6 au même endroit (jeunes),2023-05-26,Weisskopfmöwe,Totfund mehrere Tiere an einem Ort,negativ,,
VD,"Port de Villeneuve, le Quai,  1844 Villeneuve",2023-05-30,Höckerschwan,Totfund Einzeltier,negativ,,
FL,"in Industrie Austrasse 14, 9495 Triesen",2023-05-30,Stockente,Totfund Einzeltier,negativ,,
LU,"Seeufer, im Wasser treibend, Meggen",2023-05-30,Höckerschwan,Totfund Einzeltier,negativ,,
SG,Brutplattform  Bemerkung: Auf der gleichen Brutplattform brüten auch Lachmöwen!,2023-06-02,Fluss-Seeschwalbe,Totfund mehrere Tiere an einem Ort,positiv,highly pathogenic avian influenza (HPAI),H5N1
SG,Brutplattform  Bemerkung: Auf der gleichen Brutplattform brüten auch Lachmöwen!,2023-06-02,Fluss-Seeschwalbe,Totfund mehrere Tiere an einem Ort,positiv,highly pathogenic avian influenza (HPAI),H5N1
TI,,2023-06-02,Stockente,Lebendfang klinisch krank,negativ,,
VD,"Parc du Pelican,  1025 St. Sulpice",2023-06-02,Höckerschwan,Totfund Einzeltier,negativ,,
SH,"unter einem Strauch gefunden, Stammerstrasse 790,  8260 Stein am Rhein",2023-06-03,Stockente,Totfund Einzeltier,negativ,,
TG,"Grossweiher, Brutflosse,  8280 Kreuzlingen  Tiere 4+5: juvenil",2023-06-06,Fluss-Seeschwalbe,Totfund mehrere Tiere an einem Ort,negativ,,
TG,"Grossweiher, Brutflosse,  8280 Kreuzlingen  Tiere 4+5: juvenil",2023-06-06,Fluss-Seeschwalbe,Totfund mehrere Tiere an einem Ort,positiv,highly pathogenic avian influenza (HPAI),H5N1
TG,"Grossweiher, Brutflosse,  8280 Kreuzlingen  Tiere 4+5: juvenil",2023-06-06,Fluss-Seeschwalbe,Totfund mehrere Tiere an einem Ort,negativ,,
TG,"Grossweiher, Brutflosse,  8280 Kreuzlingen  Tiere 4+5: juvenil",2023-06-06,Fluss-Seeschwalbe,Totfund mehrere Tiere an einem Ort,negativ,,
TG,"Grossweiher, Brutflosse,  8280 Kreuzlingen  Tiere 4+5: juvenil",2023-06-06,Fluss-Seeschwalbe,Totfund mehrere Tiere an einem Ort,negativ,,
VD,Camping Salavaux,2023-06-08,Kormoran,Totfund Einzeltier,negativ,,
VD,Trouvé mort au large à 500m du bord du Léman de l’embouchure de la Chamberonne,2023-06-09,Kolbenente,Totfund Einzeltier,negativ,,
SH,"nahe der Hauptstrasse, Taunerwäg, 8219 Trasadingen",2023-06-16,Storch,Abklärung Krankheit / Tierseuchenverdacht,negativ,,
VD,"Yverdon.  Ne se lève pas, faible, nous avons exclu des fractures avec la radiographie. L’oiesau à été isolé. Ringnummer: links: HD722, rechts: Sempach MA00688 aus der Wildtierauffangstation „Erminea“,1373 Chavornay VD",2023-06-19,Weisskopfmöwe,Lebendfang klinisch krank,negativ,,
TG,"Badi Kesswil, Niederholzstrasse 8593 Kesswil  Badi Kesswil, lag apathisch am Seeufer, wurde durch Jagdaufseher geschossen.",2023-06-24,Höckerschwan,Lebendfang klinisch krank,negativ,,
VD,"Salavaux, Lac de Morat",2023-07-02,Möwe,Abklärung Krankheit / Tierseuchenverdacht,negativ,,
VD,"Salavaux, Lac de Morat",2023-07-04,Kormorane,Abklärung Krankheit / Tierseuchenverdacht,negativ,,
VD,"Salavaux, Lac de Morat",2023-07-05,Lachmöwe,Abklärung Krankheit / Tierseuchenverdacht,positiv,highly pathogenic avian influenza (HPAI),H5N1
VD,1543 Grandcour,2023-07-11,Weisskopfmöwe,Totfund Einzeltier,negativ,,
SH,Langwiesen,2023-07-11,Kolbenente,Lebendfang klinisch krank,negativ,,
FR,"A vesin 12, 1483 Vesin",2023-07-12,Turmfalke,Totfund Einzeltier,negativ,,
VD,Parc Bourget Lausanne,2023-07-15,Höckerschwan,Totfund Einzeltier,negativ,,
VD,1197 Prangins,2023-07-24,Weisskopfmöwe,Lebendfang klinisch krank,negativ,,
GE,"rue Blavignac 10, Carouge",2023-07-25,Sperling,Totfund mehrere Tiere an einem Ort,negativ,,
GE,"rue Blavignac 10, Carouge",2023-07-25,Sperling,Totfund mehrere Tiere an einem Ort,negativ,,
GE,"rue Blavignac 10, Carouge",2023-07-25,Sperling,Totfund mehrere Tiere an einem Ort,negativ,,
GE,"rue Blavignac 10, Carouge",2023-07-25,Star,Totfund mehrere Tiere an einem Ort,negativ,,
GE,"rue Blavignac 10, Carouge",2023-07-25,Star,Totfund mehrere Tiere an einem Ort,negativ,,
GE,"rue Blavignac 10, Carouge",2023-07-25,Star,Totfund mehrere Tiere an einem Ort,negativ,,
TI,,2023-07-25,Weisskopfmöwe,Totfund mehrere Tiere an einem Ort,negativ,,
VD,Tolochenaz,2023-07-25,Weisskopfmöwe,Lebendfang verletztes Tier,negativ,,
NE,"Au Port, Nid du Crô, 2000 Neuchâtel Remarques: Tué sur place, trouvé agonisant sur le dos.",2023-07-27,Weisskopfmöwe,Lebendfang klinisch krank,negativ,,
VD,Rolle,2023-07-30,Kolbenente,Lebendfang klinisch krank,negativ,,
VD,Morges,2023-07-30,Kolbenente,Lebendfang klinisch krank,negativ,,
VD,"Port de Nyon, Nyon Remarques: 2 goélands et 1 sterne",2023-07-31,Seeschwalbe,Totfund mehrere Tiere an einem Ort,negativ,,
VD,"Port de Nyon, Nyon Remarques: 2 goélands et 1 sterne",2023-07-31,Weisskopfmöwe,Totfund mehrere Tiere an einem Ort,negativ,,
VD,"Port de Nyon, Nyon Remarques: 2 goélands et 1 sterne",2023-07-31,Weisskopfmöwe,Totfund mehrere Tiere an einem Ort,negativ,,
ZH,"Schifflände Niederuster / Uferweg, 8610 Uster Beobachtungsgebiet Bemerkung: Schwan wurde tot angeschwemmt (Körper war steif)",2023-07-31,Höckerschwan,Totfund Einzeltier,negativ,,
VD,Perroy Lac,2023-08-02,Kolbenente,Lebendfang klinisch krank,negativ,,
VD,Quai Perdonnet (Marché Vevey) 1800 Vevey,2023-08-04,Weisskopfmöwe,Lebendfang verletztes Tier,negativ,,
FL,"im Wasser treibend, 9487 Gamprin",2023-08-06,Höckerschwan,Totfund Einzeltier,negativ,,
VD,"Chausiée d’Ordemont 12, Nyon",2023-08-09,Weisskopfmöwe,Lebendfang verletztes Tier,negativ,,
VD,"Route de Lausanne 18, Nyon",2023-08-09,Weisskopfmöwe,Lebendfang klinisch krank,negativ,,
VD,St-Prex,2023-08-10,Weisskopfmöwe,Lebendfang klinisch krank,negativ,,
VD,unbekannt,2023-08-13,Weisskopfmöwe,Totfund Einzeltier,negativ,,
VD,1163 Etay,2023-08-14,Weisskopfmöwe,Totfund Einzeltier,negativ,,
VD,Estavayer-le-Lac,2023-08-14,Weisskopfmöwe,Totfund Einzeltier,negativ,,
VD,Gland,2023-08-15,Weisskopfmöwe,Totfund mehrere Tiere an einem Ort,negativ,,
NE,"Port du Nid du Crô, 2000 Neuchâtel",2023-08-17,Weisskopfmöwe,Totfund Einzeltier,negativ,,
NE,"2037 Montezillon 3 canards morts dans le jardin le mème après-midi autour d’un mini étang, Eau de l’étang = trop plein de la fontaine du village",2023-08-21,Stockente,Totfund mehrere Tiere an einem Ort,negativ,,
VD,Chavornay,2023-08-25,Sperling,Totfund mehrere Tiere an einem Ort,negativ,,
VD,"Curtilles, Chemin de la scie, côté rivière",2023-08-30,Star,Totfund mehrere Tiere an einem Ort,negativ,,
SH,"Kraftwerk Schaffhausen Mühlentalstrasse 19, 8200 Schaffhausen",2023-09-14,Höckerschwan,Totfund Einzeltier,negativ,,
TI,6780 Airolo,2023-09-14,Strassentaube,Totfund mehrere Tiere an einem Ort,negativ,,
TI,6780 Airolo,2023-09-14,Strassentaube,Totfund mehrere Tiere an einem Ort,negativ,,
TI,6780 Airolo,2023-09-14,Strassentaube,Totfund mehrere Tiere an einem Ort,negativ,,
TI,6780 Airolo,2023-09-14,Strassentaube,Totfund mehrere Tiere an einem Ort,negativ,,
TI,6780 Airolo,2023-09-14,Strassentaube,Totfund mehrere Tiere an einem Ort,negativ,,
TI,"via Cascine Gadda 8, 6533 Cadenazzo",2023-09-25,Höckerschwan,Totfund Einzeltier,negativ,,
ZH,"Höhe Sprachheilschule am Steg, Seestrasse 101, 8712 Stäfa",2023-10-02,Höckerschwan,Lebendfang klinisch krank,negativ,,
BE,,2023-10-05,Höckerschwan,Totfund Einzeltier,negativ,,
SH,8260 Stein am Rhein Rhiweg 22,2023-10-22,Lachmöwe,Totfund Einzeltier,negativ,,
SH,Kraftwerk Schaffhausen Mühlentalstrasse 19 8200 Schaffhausen,2023-10-26,Kormoran,Totfund Einzeltier,negativ,,
VD,"1028 Préverenges, Plage",2023-10-26,Stockente,Lebendfang klinisch krank,negativ,,
VD,"Lausanne, Vidy",2023-11-08,Stockente,Lebendfang klinisch krank,negativ,,
ZH,"Unterführung Autobahn A1, Reutlingerstrasse, 8404 Winterthur/Reutlingen",2023-11-17,Höckerschwan,Lebendfang klinisch krank,negativ,,
VD,"dans l’eau sur le dos, Vidy Lausanne",2023-11-19,Haubentaucher,Lebendfang klinisch krank,negativ,,
SH,"am Rheinufer, 8455 Rüdlingen",2023-11-20,Höckerschwan,Lebendfang verletztes Tier,negativ,,
VS,Saxon VS,2023-11-23,Gänsegeier,Lebendfang verletztes Tier,negativ,,
ZH,"Wühre um 09.00 Uhr am 26.11.2023 eine Lachmöwe im Wasser, zweite auf Steg. Die sich im Wasser befindliche konnte nicht geborgen werden.",2023-11-27,Lachmöwe,Totfund Einzeltier,negativ,,
ZH,lag schon am 26.11.2023 im Wasser Gefunden im Rechen im Kraftwerk Letten um 08:30 Uhr am 27.11.2023,2023-11-27,Schwan,Totfund Einzeltier,negativ,,
SH,"Rechen Kraftwerk, Mühlentalstrasse 188, 8200 Schaffhausen",2023-11-30,Höckerschwan,Totfund Einzeltier,negativ,,
VD,"Plage, Allaman",2023-12-05,Höckerschwan,Programm,negativ,,
ZH,alter Hafen in Wädenswil (Engelhaas),2023-12-05,Höckerschwan,Programm,negativ,,
ZH,"Kraftwerk Letten, Wasserwerkstrasse, 8037 Zürich",2023-12-07,Höckerschwan,Totfund Einzeltier,negativ,,
ZH,"Seeweg 20, 8820 Wädenswil",2023-12-10,Höckerschwan,Totfund Einzeltier,negativ,,
ZH,"Einwasserungsrampe,  Hafen Wollishofen, Forellenweg 495b, 8038 Zürich ",2023-12-11,Schwan,Totfund Einzeltier,negativ,,
VD,Port d’Ouchy,2023-12-11,Höckerschwan,Totfund Einzeltier,negativ,,
FR,A 2573711 / 1202837 B 2575270 / 1201762 tot gefunden nach Heizölverschmutzung am 09.12. + 11.12.2023 in einem Gebiet,2023-12-12,Höckerschwan,Totfund mehrere Tiere an einem Ort,negativ,,
FR,A 2573711 / 1202837 B 2575270 / 1201762 tot gefunden nach Heizölverschmutzung am 09.12. + 11.12.2023 in einem Gebiet,2023-12-12,Höckerschwan,Totfund mehrere Tiere an einem Ort,negativ,,
SH,"Lindli, Rheinhaldenstrasse,  8200 Schaffhausen",2023-12-16,Höckerschwan,Totfund Einzeltier,negativ,,
SH,"Lindli, Lindli/Rosentalgässchen 8200 Schaffhausen",2023-12-16,Höckerschwan,Jagdprobe klinisch krank,negativ,,
ZH,"Kraftwerk Letten, Staubecken",2023-12-18,Höckerschwan,Lebendfang klinisch krank,negativ,,
ZH,mit Schrotkugeln erlöst,2023-12-23,Höckerschwan,Lebendfang klinisch krank,negativ,,
ZH,Oerlingen,2023-12-25,Höckerschwan,Totfund Einzeltier,positiv,highly pathogenic avian influenza (HPAI),H5N1
NE,"dans le jardin, des Parcs 35,  2000 Neuchâtel",2023-12-27,Weisskopfmöwe,Totfund Einzeltier,negativ,,
TG,Hafen Bottighofen 9598 Bottighofen,2024-01-03,Lachmöwe,Totfund mehrere Tiere an einem Ort,negativ,,
VD," Chemin du Signal 8,  1808 Les Monts-de-Corsier",2024-01-08,Haussperling,Totfund Einzeltier,negativ,,
FR,"Centre de détention Bellechasse,  Bellechasse 366 1789 Sugiez",2024-01-11,Strassentaube,Totfund Einzeltier,negativ,,
SG,"Oberstufe, Schülerweg 2 9403 Goldach",2024-01-11,Lachmöwe,Lebendfang verletztes Tier,negativ,,
SH,"Kraftwerk Schaffhausen, Rechen Mühlentalstrasse 19 8200 Schaffhausen",2024-01-22,Höckerschwan,Totfund Einzeltier,negativ,,
VD,"Le Grand Canal Mole droite du grand canal OROEM des Grangettes,  1845 Noville",2024-01-23,Höckerschwan,Totfund Einzeltier,negativ,,
TG,"Acker Wiese Ermatingen Becken W2VV Espenweg, 8273 Triboltingen",2024-01-24,Graugans,Totfund mehrere Tiere an einem Ort,negativ,,
TG,"Acker Wiese Ermatingen Becken W2VV Espenweg, 8273 Triboltingen",2024-01-24,Graugans,Totfund mehrere Tiere an einem Ort,negativ,,
TG,"Acker Wiese Ermatingen Becken W2VV Espenweg, 8273 Triboltingen",2024-01-24,Graugans,Totfund mehrere Tiere an einem Ort,negativ,,
TG,"Acker Wiese Ermatingen Becken W2VV Espenweg, 8273 Triboltingen",2024-01-24,Graugans,Totfund mehrere Tiere an einem Ort,negativ,,
TG,"Acker Wiese Ermatingen Becken W2VV Espenweg, 8273 Triboltingen",2024-01-24,Graugans,Totfund mehrere Tiere an einem Ort,negativ,,
TG,"Döbeli Fussballplatz,  8280 Kreuzlingen",2024-01-25,Mäusebussard,Lebendfang klinisch krank,negativ,,
ZH,Flughafen Zürich,2024-01-26,Schleiereulen,Totfund Einzeltier,negativ,,
FR,Port de Morat,2024-01-29,Höckerschwan,Totfund Einzeltier,negativ,,
TI,san maté 3 6955 Cagiallo/Capriasca trovati nelle immediate vicinanze di una mangiatoia,2024-01-29,Zeisige (Sinus sp.),Totfund mehrere Tiere an einem Ort,negativ,,
TI,san maté 3 6955 Cagiallo/Capriasca trovati nelle immediate vicinanze di una mangiatoia,2024-01-29,Zeisige (Sinus sp.),Totfund mehrere Tiere an einem Ort,negativ,,
VD,"Vers chez Pattey, 1420 Fiez",2024-02-01,Star,Totfund mehrere Tiere an einem Ort,negativ,,
VD,"X:6084917754000003 Y:46241064490999975 104 Avenue de Mategnin, 1217 Meyrin",2024-02-01,Haussperling,Totfund Einzeltier,negativ,,
TG,"Bootsschlipf Tägerwilen Bootssteg-Perimeter W2VV, Rheinweg 8274 Tägerwilen",2024-02-03,Höckerschwan,Totfund Einzeltier,negativ,,
GE,Tier A 2498183 / 1117508 Tier B 2502312 / 1125543,2024-02-05,Höckerschwan,Lebendfang klinisch krank,negativ,,
GE,Tier A 2498183 / 1117508 Tier B 2502312 / 1125543,2024-02-05,Höckerschwan,Lebendfang klinisch krank,negativ,,
NE,Port de Cortaillod,2024-02-15,Haubentaucher,Totfund Einzeltier,negativ,,
SO,,2024-02-23,Mäusebussard,Totfund mehrere Tiere an einem Ort,negativ,,
NE,2074 La Tène plage de La Tène,2024-02-23,Weisskopfmöwe,Totfund Einzeltier,negativ,,
NE,"Chemin des Liserons 2,  2000 Neuchâtel",2024-02-23,Weisskopfmöwe,Totfund Einzeltier,negativ,,
TI,"Colorine, 6855 Stabio",2024-03-03,Graureiher,Lebendfang verletztes Tier,negativ,,
ZH,"Strandbad, Seestrasse,  8942 Oberrieden",2024-03-05,Höckerschwan,Totfund Einzeltier,negativ,,
TI,"Località Pasquee, Strada da Pügèrna, 6822 Arogno",2024-03-06,Zeisige (Sinus sp.),Totfund mehrere Tiere an einem Ort,negativ,,
BE,"Fischerweg, Täuffelen",2024-03-08,Höckerschwan,Totfund Einzeltier,negativ,,
VD,"Crebellex, Gd. Canal, Rive Gauche Grand Canal",2024-03-08,Höckerschwan,Totfund Einzeltier,negativ,,
TI,"alle Foce, 6982 Agno",2024-03-10,Kormoran,Totfund Einzeltier,negativ,,
BE,,2024-03-13,Höckerschwan,Totfund Einzeltier,negativ,,
VD,Plage de Préveranges,2024-03-24,Höckerschwan,Totfund Einzeltier,negativ,,
VD,STEP Morges,2024-03-24,Höckerschwan,Totfund mehrere Tiere an einem Ort,negativ,,
VD,STEP Morges,2024-03-24,Höckerschwan,Totfund mehrere Tiere an einem Ort,negativ,,
LU,Luzern,2024-04-10,Uhu,keine Angaben,negativ,,
BE,,2024-04-14,Höckerschwan,Totfund Einzeltier,negativ,,
BE,,2024-04-15,Höckerschwan,Totfund Einzeltier,negativ,,
BE,,2024-04-16,Höckerschwan,Totfund Einzeltier,negativ,,
BE,,2024-04-20,Höckerschwan,Totfund Einzeltier,negativ,,
VD,"Bullet VD, nichoir TM66",2024-05-06,Rauhfusskauz,Totfund mehrere Tiere an einem Ort,negativ,,
VD,"Bullet VD, nichoir TM66",2024-05-06,Rauhfusskauz,Totfund mehrere Tiere an einem Ort,negativ,,
VD,"Bullet VD, nichoir TM66",2024-05-06,Rauhfusskauz,Totfund mehrere Tiere an einem Ort,negativ,,
VD,"Bullet VD, nichoir TM66",2024-05-06,Rauhfusskauz,Totfund mehrere Tiere an einem Ort,negativ,,
GR,"Oberurnen, Glarus",2024-05-10,Rotmilan,Totfund mehrere Tiere an einem Ort,negativ,,
VD,Points GPS 531-419-151-124,2024-05-22,Höckerschwan,Jagdprobe klinisch krank,negativ,,
BE,"Bözingerstrasse 172, Biel",2024-06-03,Weisskopfmöwe,Lebendfang verletztes Tier,negativ,,
SH,,2024-06-04,Strassentaube,Totfund mehrere Tiere an einem Ort,negativ,,
ZH,"WZT Tiefenbrunnen,  Hafen Tiefenbrunnen",2024-06-04,Höckerschwan,Totfund Einzeltier,negativ,,
GE,"Radeau à stemes sur le lac de Verbies, 1288 Aire-la-Ville",2024-06-07,Lachmöwe,Programm,negativ,,
ZH,,2024-06-25,Haubentaucher,Totfund mehrere Tiere an einem Ort,negativ,,
ZH,,2024-06-25,Haubentaucher,Totfund mehrere Tiere an einem Ort,negativ,,
ZH,"im Schwimmbadbereich in der Nähe, Stäubisallmend 1, 8416 Flaach",2024-07-03,Höckerschwan,Totfund Einzeltier,negativ,,
VD,"1400 Yverdon-les-bains, Canal occidental",2024-07-22,Graureiher,Totfund mehrere Tiere an einem Ort,negativ,,
VD,"1400 Yverdon-les-bains, Canal du Muson",2024-07-22,Höckerschwan,Totfund mehrere Tiere an einem Ort,negativ,,
BS,"Hafenbecken 2, 4057 Basel,  in „Anschwemm“- Beeich Rheinafen",2024-07-23,Höckerschwan,Totfund mehrere Tiere an einem Ort,negativ,,
BS,"Hafenbecken 2, 4057 Basel, in „Anschwemm“- Beeich Rheinafen",2024-07-23,Höckerschwan,Totfund mehrere Tiere an einem Ort,negativ,,
GR,7126 Castrich,2024-08-07,Haussperling,Totfund Einzeltier,negativ,,
GR,7130 Illanz,2024-08-07,Haussperling,Totfund Einzeltier,negativ,,
BE,Stausee Niederried,2024-08-07,Höckerschwan,Totfund Einzeltier,negativ,,
NE,"Serriéres, 2000 Neuchâtel",2024-08-16,Weisskopfmöwe,Totfund Einzeltier,positiv,low pathogenic avian influenza (LPAI),
VD,1162 Saint-Prex,2024-08-17,Lachmöwe,Lebendfang klinisch krank,negativ,,
VD,"au bord du Lac, Morges",2024-08-18,Lachmöwe,Lebendfang klinisch krank,negativ,,
TI,"Riva Caclin, 6900 Lugano",2024-08-26,Weisskopfmöwe,Lebendfang klinisch krank,negativ,,
NE,2000 Neuchâtel,2024-08-30,Weisskopfmöwe,Lebendfang klinisch krank,negativ,,
TI,6600 Muralto,2024-08-31,Blässhuhn,Totfund mehrere Tiere an einem Ort,negativ,,
TI,6600 Muralto,2024-08-31,Haubentaucher,Totfund mehrere Tiere an einem Ort,negativ,,
TI,6600 Muralto,2024-08-31,Stockente,Totfund mehrere Tiere an einem Ort,negativ,,
VD,"sur la Plage, 1165 Allaman",2024-08-31,Möwe,Lebendfang klinisch krank,negativ,,
BE,"Wohlensee, Prägelweg",2024-09-01,Höckerschwan,Totfund Einzeltier,negativ,,
BE,"Aare, 3283 Niederried b. Kallnach",2024-09-04,Höckerschwan,Totfund Einzeltier,negativ,,
BE,"Wohlensee, 3032 Hinterkappelen",2024-09-05,Höckerschwan,Totfund Einzeltier,negativ,,
VD,sur le lac Lémann,2024-09-06,Weisskopfmöwe,Totfund Einzeltier,negativ,,
SH,"Waldfriedhof, 8200 Schaffhausen",2024-09-14,Eigentliche Eulen,Totfund Einzeltier,negativ,,
