Kanton,Fundort,Probenahme-Datum,Vogelart,Status Wildvogel,Ergebnis,Pathogenitaet,Subtyp
ZH,"Zweideln, Kraftwerk Eglisau ",2021-12-06,Höckerschwan,Totfund Einzeltier,negativ,,
SZ,Buochs,2021-12-06,Höckerschwan,Lebendfang klinisch krank,negativ,,
ZH,Zürich ,2021-12-06,Krähen/Raben,Totfund Einzeltier,negativ,,
TG,Basadingen,2021-12-08,Graureiher,Totfund Einzeltier,negativ,,
ZH,Richterswil,2021-12-12,Lachmöwe,Totfund Einzeltier,negativ,,
ZH,Küsnacht,2021-12-13,Blässhuhn,Totfund Einzeltier,negativ,,
BS,Basel,2021-12-13,Höckerschwan,Totfund Einzeltier,negativ,,
VD,Etoy,2021-12-13,Mäusebussard,Totfund Einzeltier,negativ,,
BE,Gerolfingen,2021-12-13,Höckerschwan,Totfund Einzeltier,negativ,,
BS,Allschwil,2021-12-13,Waldkauz,Totfund Einzeltier,negativ,,
ZH,"Zürich, Schwamendingen",2021-12-15,Mäusebussard,Lebendfang klinisch krank,negativ,,
GR,Davos-Frauenkirch,2021-12-17,Birkhuhn,Totfund Einzeltier,negativ,,
SG,Nähe See,2021-12-19,Höckerschwan,Totfund Einzeltier,negativ,,
SH,Schaffhausen,2021-12-20,Kormoran,Totfund Einzeltier,negativ,,
LU,Eschenbach,2021-12-20,Strassentaube,Totfund mehrere Tiere an einem Ort,negativ,,
ZH,8322 Russikon Bannweg,2021-12-20,Mäusebussard,Totfund Einzeltier,negativ,,
ZH,Maur,2021-12-21,Graureiher,Totfund Einzeltier,negativ,,
ZH,Dietikon,2021-12-23,Haubentaucher,Totfund Einzeltier,negativ,,
NE,Montmirail,2021-12-27,Höckerschwan,Totfund Einzeltier,negativ,,
LU,Nottwil,2021-12-29,Lachmöwe,Totfund mehrere Tiere an einem Ort,negativ,,
LU,Nottwil,2021-12-29,Lachmöwe,Totfund mehrere Tiere an einem Ort,negativ,,
SO,Deitigen,2021-12-31,Höckerschwan,Totfund mehrere Tiere an einem Ort,negativ,,
SO,Deitigen,2021-12-31,Höckerschwan,Totfund mehrere Tiere an einem Ort,negativ,,
