Year,Species,Class of active substances,Critical active substance,Amount of active ingredient (kg)
2019,Livestock,Polymyxins,All types of active ingredients,205.94
2021,Pet,Polymyxins,All types of active ingredients,0.45
2024,Species,Polymyxins,All types of active ingredients,36.43
2022,Pet,Polymyxins,All types of active ingredients,0.41
2021,Species,Polymyxins,All types of active ingredients,82.43
2019,Species,Polymyxins,All types of active ingredients,206.48
2020,Livestock,Polymyxins,All types of active ingredients,147.97
2022,Livestock,Polymyxins,All types of active ingredients,43.63
2015,Pet,Polymyxins,All types of active ingredients,0.4
2022,Species,Polymyxins,All types of active ingredients,44.04
2018,Species,Polymyxins,All types of active ingredients,234.68
2018,Livestock,Polymyxins,All types of active ingredients,234.17
2022,Pet,Amphenicols,All types of active ingredients,49.79
2018,Livestock,Amphenicols,All types of active ingredients,463.05
2016,Species,Active substance class,All types of active ingredients,38377.1
2017,Pet,Amphenicols,All types of active ingredients,37.64
2018,Pet,Amphenicols,All types of active ingredients,35.83
2015,Pet,Amphenicols,All types of active ingredients,17.13
2020,Livestock,Active substance class,All types of active ingredients,28078.17
2021,Livestock,Active substance class,All types of active ingredients,27388.07
2024,Livestock,Amphenicols,All types of active ingredients,762.82
2020,Pet,Amphenicols,All types of active ingredients,38.28
2016,Pet,Amphenicols,All types of active ingredients,28.86
2021,Pet,Amphenicols,All types of active ingredients,78.63
2019,Pet,Amphenicols,All types of active ingredients,41.73
2020,Species,Active substance class,All types of active ingredients,28870.83
2020,Pet,Active substance class,All types of active ingredients,792.66
2016,Livestock,Amphenicols,All types of active ingredients,244.11
2023,Pet,Active substance class,All types of active ingredients,725.91
2018,Livestock,Active substance class,All types of active ingredients,31633.67
2017,Pet,Active substance class,All types of active ingredients,806.18
2024,Pet,Amphenicols,All types of active ingredients,12.8
2017,Livestock,Active substance class,All types of active ingredients,32020.21
2015,Livestock,Active substance class,All types of active ingredients,41337.45
2019,Species,Amphenicols,All types of active ingredients,570.69
2021,Species,Amphenicols,All types of active ingredients,686.39
2023,Species,Active substance class,All types of active ingredients,24398.81
2023,Species,Amphenicols,All types of active ingredients,736.02
2019,Species,Other¹,All types of active ingredients,176.98
2023,Species,Other¹,All types of active ingredients,141.45
2022,Pet,Active substance class,All types of active ingredients,808.97
2022,Livestock,Active substance class,All types of active ingredients,24145
2024,Pet,Other¹,All types of active ingredients,89.04
2023,Livestock,Amphenicols,All types of active ingredients,716.35
2022,Species,Active substance class,All types of active ingredients,24953.97
2019,Species,Active substance class,All types of active ingredients,30108.42
2015,Livestock,Amphenicols,All types of active ingredients,199.41
2019,Livestock,Amphenicols,All types of active ingredients,528.96
2020,Species,Amphenicols,All types of active ingredients,612.24
2024,Species,Amphenicols,All types of active ingredients,775.62
2022,Species,Amphenicols,All types of active ingredients,777.24
2018,Species,Amphenicols,All types of active ingredients,498.88
2017,Species,Amphenicols,All types of active ingredients,378.32
2017,Species,Aminoglycosides,All types of active ingredients,2471
2022,Pet,Aminoglycosides,All types of active ingredients,6.37
2021,Livestock,Aminoglycosides,All types of active ingredients,2495.76
2018,Livestock,Aminoglycosides,All types of active ingredients,2513.43
2024,Species,Aminoglycosides,All types of active ingredients,1935.3
2018,Pet,Aminoglycosides,All types of active ingredients,9.19
2018,Species,Aminoglycosides,All types of active ingredients,2522.62
2016,Species,Aminoglycosides,All types of active ingredients,2997.17
2020,Livestock,Aminoglycosides,All types of active ingredients,2495.01
2017,Livestock,Aminoglycosides,All types of active ingredients,2461.87
2023,Livestock,Aminoglycosides,All types of active ingredients,2041.12
2024,Livestock,Aminoglycosides,All types of active ingredients,1934.96
2020,Pet,Aminoglycosides,All types of active ingredients,19.53
2015,Livestock,Aminoglycosides,All types of active ingredients,3094.83
2016,Livestock,Aminoglycosides,All types of active ingredients,2987.65
2016,Pet,Aminoglycosides,All types of active ingredients,9.52
2019,Species,Aminoglycosides,All types of active ingredients,2464.68
2019,Livestock,Aminoglycosides,All types of active ingredients,2456.24
2021,Species,Aminoglycosides,All types of active ingredients,2498.02
2022,Livestock,Aminoglycosides,All types of active ingredients,2250.37
2017,Livestock,Amphenicols,All types of active ingredients,340.68
2021,Pet,Aminoglycosides,All types of active ingredients,2.26
2022,Livestock,Amphenicols,All types of active ingredients,727.45
2023,Species,Aminoglycosides,All types of active ingredients,2041.65
2017,Pet,Aminoglycosides,All types of active ingredients,9.13
2015,Species,Active substance class,All types of active ingredients,42147.16
2016,Species,Amphenicols,All types of active ingredients,272.97
2016,Livestock,Active substance class,All types of active ingredients,37575.28
2024,Pet,Active substance class,All types of active ingredients,674.92
2021,Livestock,Amphenicols,All types of active ingredients,607.76
2015,Species,Aminoglycosides,All types of active ingredients,3104.09
2015,Pet,Aminoglycosides,All types of active ingredients,9.26
2020,Species,Aminoglycosides,All types of active ingredients,2514.54
2022,Species,Aminoglycosides,All types of active ingredients,2256.74
2023,Pet,Aminoglycosides,All types of active ingredients,0.53
2023,Pet,Amphenicols,All types of active ingredients,19.67
2015,Species,Amphenicols,All types of active ingredients,216.54
2024,Pet,Aminoglycosides,All types of active ingredients,0.34
2019,Pet,Aminoglycosides,All types of active ingredients,8.44
2020,Livestock,Amphenicols,All types of active ingredients,573.96
