Year,Canton,Species,Type of Slaughter,Origin of animal,Fitness for consumption,Count
2014,BS,Swine,Sanitary,Inland,No,23
2014,BS,Swine,Normal,Abroad,No,0
2014,BS,Swine,Sanitary,Abroad,No,0
2014,FL,Cattle < 6We,Normal,Inland,Yes,0
2014,FL,Cattle < 6We,Sanitary,Inland,Yes,0
2014,FL,Cattle < 6We,Normal,Abroad,Yes,0
2014,FL,Cattle < 6We,Sanitary,Abroad,Yes,0
2014,FL,Cattle < 6We,Normal,Inland,No,0
2014,FL,Cattle < 6We,Sanitary,Inland,No,0
2014,FL,Cattle < 6We,Normal,Abroad,No,0
2014,FL,Cattle < 6We,Sanitary,Abroad,No,0
2014,FL,Cattle > 6We,Normal,Inland,Yes,85
2014,FL,Cattle > 6We,Sanitary,Inland,Yes,0
2014,FL,Cattle > 6We,Normal,Abroad,Yes,0
2014,FL,Cattle > 6We,Sanitary,Abroad,Yes,0
2014,FL,Cattle > 6We,Normal,Inland,No,0
2014,FL,Cattle > 6We,Sanitary,Inland,No,0
2014,FL,Cattle > 6We,Normal,Abroad,No,0
2014,FL,Cattle > 6We,Sanitary,Abroad,No,0
2014,FL,Equidae,Normal,Inland,Yes,0
2014,FL,Equidae,Sanitary,Inland,Yes,0
2014,FL,Equidae,Normal,Abroad,Yes,0
2014,FL,Equidae,Sanitary,Abroad,Yes,0
2014,FL,Equidae,Normal,Inland,No,0
2014,FL,Equidae,Sanitary,Inland,No,0
2014,FL,Equidae,Normal,Abroad,No,0
2014,FL,Equidae,Sanitary,Abroad,No,0
2014,FL,Goats,Normal,Inland,Yes,174
2014,FL,Goats,Sanitary,Inland,Yes,0
2014,FL,Goats,Normal,Abroad,Yes,0
2014,FL,Goats,Sanitary,Abroad,Yes,0
2014,FL,Goats,Normal,Inland,No,0
2014,FL,Goats,Sanitary,Inland,No,0
2014,FL,Goats,Normal,Abroad,No,0
2014,FL,Goats,Sanitary,Abroad,No,0
2014,FL,Sheep,Normal,Inland,Yes,249
2014,FL,Sheep,Sanitary,Inland,Yes,0
2014,FL,Sheep,Normal,Abroad,Yes,0
2014,FL,Sheep,Sanitary,Abroad,Yes,0
2014,FL,Sheep,Normal,Inland,No,0
2014,FL,Sheep,Sanitary,Inland,No,0
2014,FL,Sheep,Normal,Abroad,No,0
2014,FL,Sheep,Sanitary,Abroad,No,0
2014,FL,Swine,Normal,Inland,Yes,280
2014,FL,Swine,Sanitary,Inland,Yes,0
2014,FL,Swine,Normal,Abroad,Yes,0
2014,FL,Swine,Sanitary,Abroad,Yes,0
2014,FL,Swine,Normal,Inland,No,0
2014,FL,Swine,Sanitary,Inland,No,0
2014,FL,Swine,Normal,Abroad,No,0
2014,FL,Swine,Sanitary,Abroad,No,0
2014,FR,Cattle < 6We,Normal,Inland,Yes,132
2014,FR,Cattle < 6We,Sanitary,Inland,Yes,0
2014,FR,Cattle < 6We,Normal,Abroad,Yes,0
2014,FR,Cattle < 6We,Sanitary,Abroad,Yes,0
2014,FR,Cattle < 6We,Normal,Inland,No,1
2014,FR,Cattle < 6We,Sanitary,Inland,No,0
2014,FR,Cattle < 6We,Normal,Abroad,No,0
2014,FR,Cattle < 6We,Sanitary,Abroad,No,0
2014,FR,Cattle > 6We,Normal,Inland,Yes,93244
2014,FR,Cattle > 6We,Sanitary,Inland,Yes,192
2014,FR,Cattle > 6We,Normal,Abroad,Yes,0
2014,FR,Cattle > 6We,Sanitary,Abroad,Yes,0
2014,FR,Cattle > 6We,Normal,Inland,No,169
2014,FR,Cattle > 6We,Sanitary,Inland,No,64
2014,FR,Cattle > 6We,Normal,Abroad,No,0
2014,FR,Cattle > 6We,Sanitary,Abroad,No,0
2014,FR,Equidae,Normal,Inland,Yes,121
2014,FR,Equidae,Sanitary,Inland,Yes,1
2014,FR,Equidae,Normal,Abroad,Yes,0
2014,FR,Equidae,Sanitary,Abroad,Yes,0
2014,FR,Equidae,Normal,Inland,No,0
2014,FR,Equidae,Sanitary,Inland,No,0
2014,FR,Equidae,Normal,Abroad,No,0
2014,FR,Equidae,Sanitary,Abroad,No,0
2014,FR,Goats,Normal,Inland,Yes,518
2014,FR,Goats,Sanitary,Inland,Yes,2
2014,FR,Goats,Normal,Abroad,Yes,0
2014,FR,Goats,Sanitary,Abroad,Yes,0
2014,FR,Goats,Normal,Inland,No,0
2014,FR,Goats,Sanitary,Inland,No,1
2014,FR,Goats,Normal,Abroad,No,0
2014,FR,Goats,Sanitary,Abroad,No,0
2014,FR,Sheep,Normal,Inland,Yes,2468
2014,FR,Sheep,Sanitary,Inland,Yes,4
2014,FR,Sheep,Normal,Abroad,Yes,0
2014,FR,Sheep,Sanitary,Abroad,Yes,0
2014,FR,Sheep,Normal,Inland,No,2
2014,FR,Sheep,Sanitary,Inland,No,2
2014,FR,Sheep,Normal,Abroad,No,0
